"wdpaid","wdpa_pid","name","iso3","country","2004","2005","2006","2007","2008","2010","2011","2012","2013","2014","2015","2016","2017"
579,"579","Yanchep","AUS","Australia",28.42,28.42,28.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,"584","William Bay","AUS","Australia",17.45,17.45,17.45,NA,17.345,NA,NA,NA,NA,NA,NA,NA,NA
584,"584_A","William Bay","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,"584_B","William Bay","AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,"595","Christmas Island","CXR","Christmas Island",87.26,87.26,87.26,87.26,87.26,NA,NA,NA,NA,NA,NA,NA,NA
611,"611","Wood Buffalo National Park of Canada","CAN","Canada",NA,NA,45390.23,45390.23,45390.23,NA,NA,NA,NA,NA,NA,NA,NA
613,"613","Auyuittuq","CAN","Canada",21469.4,21469.4,21469.4,14386.88,14386.88,1153,1153,1157,1157,1157,1157,NA,NA
613,"613_B","Auyuittuq National Park of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,"6130002","Auyuittuq National Park of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157,NA
619,"619","Gros Morne National Park of Canada","CAN","Canada",1942.5,1942.5,1942.5,1805,1805,4.45,4.45,NA,NA,NA,NA,NA,NA
624,"624","Cape Breton Highlands National Park of Canada","CAN","Canada",950.5,950.5,950.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,"625","Baie de l'Isle-Verte","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,0.279,0.279,0.279,0.279,NA,NA
627,"627","Terra Nova Migratory Bird Sanctuary","CAN","Canada",399.9,399.9,399.9,8.7,8.7,8.7,8.7,NA,NA,11.7838,11.7838,11.7838,NA
628,"628","Pacific Rim","CAN","Canada",514.738,514.74,514.74,514.738,514.738,220.803,220.803,153,153,153,153,NA,NA
628,"628_B","Pacific Rim National Park Reserve of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
628,"6280002","Pacific Rim National Park Reserve of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA
631,"631","Cap Tourmente","CAN","Canada",27.17,27.17,27.17,23.99,23.99,6.2,6.2,6.36,6.36,6.36,6.36,NA,NA
632,"632","Kouchibouguac","CAN","Canada",235.33,235.33,235.33,239.2,239.2,28.5,28.5,40.5,40.5,40.5,40.5,NA,NA
632,"632_B","Kouchibouguac National Park of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,"6320002","Kouchibouguac National Park of Canada","CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,NA
633,"633","Fundy National Park of Canada","CAN","Canada",205.9,205.9,205.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,"635","Prince Edward Island National Park of Canada","CAN","Canada",21.5,21.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
650,"650","Nationalparken i Nord- og Østgrønland","GRL","Greenland",972000,NA,NA,NA,972000,110600,110600,110600,110600,110600,NA,NA,NA
663,"663","Port-Cros","FRA","France",24.75,24.75,24.75,24.75,24.75,18,18,18,18,18,727.492837,29.39364889,29.3936488904806
665,"665","Antarctique francaise","ATF","French Southern Territories",367,367,367,367,367,NA,NA,NA,NA,NA,NA,NA,NA
666,"666","Wonga-Wongué","GAB","Gabon",480,480,5500,4281.8789,4281.8789,0.02,0.02,0.02,0.02,0.02,NA,NA,NA
683,"683","J�kuls�rglj�fur","ISL","Iceland",NA,NA,120,120,120,0.58,0.58,0.58,0.58,0.58,NA,NA,NA
709,"709","Hara","IRN","Iran (Islamic Republic of)",867.38,867.38,867.38,865.81,865.81,200,200,200,200,200,200,200,200
715,"715","Mount Caramel","ISR","Israel",101.59,31.58,31.58,101.59,101.59,NA,NA,NA,NA,NA,NA,NA,NA
725,"725","Banco National Park","CIV","Côte D'Ivoire",30,30,30,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
731,"731","Kirishima -Yaku","JPN","Japan",570.84,548.33,548.33,570.84,570.84,263.18,263.18,263.18,263.18,263.18,NA,NA,NA
737,"737","Setonaikai","JPN","Japan",627.9,627.9,628,628,627.9,7748.54,7748.54,7748.54,7748.54,7748.54,8367.942,8367.942,8367.942
738,"738","Yoshino kumano","JPN","Japan",597.98,597.98,597.98,597.98,597.98,416.8,416.8,416.8,416.8,416.8,199.45,199.45,199.45
739,"739","Kirishima-Yaku","JPN","Japan",548.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"740","Ise shima","JPN","Japan",555.44,555.44,555.44,555.44,555.44,191,191,191,191,191,210.102,210.102,210.102
742,"742","Shiretoko","JPN","Japan",386.33,386.33,460,460,386.33,74,74,74,74,74,230.833,230.833,230.833
745,"745","Unzen amakusa","JPN","Japan",282.87,282.87,282.87,282.87,282.87,369.55,369.55,369.55,369.55,369.55,354.467,354.467,354.467
747,"747","Iriomote ishigaki","JPN","Japan",125.06,125.06,125.06,125.06,125.06,537.48,537.48,537.48,537.48,537.48,704.003,704.003,704.003
748,"748","Rikuchu - Kaigan","JPN","Japan",122.12,122.12,122.12,122.12,122.12,570.34,570.34,570.34,570.34,570.34,NA,NA,NA
750,"750","San'inkaigan","JPN","Japan",87.84,87.84,87.84,87.84,87.84,222.31,222.31,222.31,222.31,222.31,123.78,123.78,123.78
751,"751","Ogasawara","JPN","Japan",60.99,60.99,60.99,60.99,60.99,192.21,192.21,192.21,192.21,192.21,1213.486,1213.486,1213.486
